ORIGIN,ORIGIN_AVG_DEP_DELAY
148,27.22099447513812
243,5.74294670846395
31,19.09572970436415
85,13.230323625560159
251,13.787681011625535
137,16.20769230769231
65,12.573222983117882
53,12.632103876552502
255,13.025041969781757
296,13.93796136327941
133,13.955746229849193
78,15.670382937469704
322,6.967296511627907
321,6.324555160142348
108,12.824179395515111
193,10.315901706951527
211,13.807453416149068
34,13.548981051126207
101,12.380931554778044
115,15.940876673160139
126,15.305555555555555
81,11.72605504587156
183,16.767618372051782
210,31.166666666666668
28,4.9609868043602985
300,24.110578695171398
76,10.95177570093458
27,11.080271557401966
26,13.540314553055943
271,15.053456627036548
192,15.336704119850188
159,10.121308858739026
44,11.43695479777954
253,11.725529606942317
236,17.1278887097441
103,17.49135802469136
12,13.54423226812159
223,11.000678826515554
91,16.472598816116097
285,12.009910802775025
222,15.947060388401171
209,16.113584474885844
128,12.134589502018843
22,12.727738927738928
230,15.114651042143489
122,8.73887538758066
319,9.790149892933618
225,11.019714552487661
93,12.333946964716196
232,36.17601246105919
157,16.055087987758224
190,5.990456714383095
233,6.47956204379562
246,10.511109750872253
224,7.257400101163379
111,14.724010991859801
47,10.582771535580525
177,13.05940410115882
140,9.142745098039216
152,11.302106971388554
132,14.644759813031481
185,7.034597371204109
305,15.700869953156369
291,15.993480622962695
146,12.42321520287622
259,15.883044982698962
1,15.18463810930576
206,14.222558667676003
52,12.555498185466025
297,12.89795918367347
212,14.984785972150593
274,18.115047479912345
182,12.916690523904952
218,12.966421825813221
13,16.91785222579165
280,13.633424709329804
86,12.252681553646516
6,30.110546378653112
16,14.295272078501338
205,12.08146566478134
168,16.261363636363637
142,6.0268134581747095
3,11.181464375307716
178,11.803091397849462
308,11.149678852272045
40,15.725127754561054
164,16.637189103829453
20,23.006265442993293
169,17.381866666666667
139,19.67620075553157
283,7.052950075642965
295,12.375423498281277
94,11.88987629314495
250,6.684950773558368
57,6.721947776993648
292,10.629658385093167
306,23.310183117463154
54,12.13062325402177
120,11.847802197802197
235,19.205440900562852
96,14.709772226304189
48,17.18536936936937
266,17.11519566322209
191,12.038164076617274
163,4.061438439658676
268,15.492329646806992
5,18.975124378109452
279,15.383673993561361
258,14.989327482265727
19,17.531539108494535
92,13.081914404049702
299,16.52770673486786
257,17.63091056471224
117,15.627934387584716
227,5.2639593908629445
309,16.965592334494772
41,11.728048780487805
154,9.14853508971156
43,21.806552706552708
15,11.94638661779908
262,12.236906393374248
269,11.049002194128095
112,15.905296950240771
165,12.293482807663349
179,11.821107430194036
207,9.488940329218106
189,14.253405294268825
37,15.0078899453773
61,13.646622306196774
127,11.61336064282338
316,12.244179104477611
197,28.35935268919562
88,15.556281213983866
318,6.625352112676056
107,18.49740463472269
202,15.820828667413213
263,18.22931506849315
9,11.777426160337553
17,10.292715553934087
231,22.57178526841448
286,15.347242418494869
72,10.934682080924855
175,12.902662199996763
35,12.329001367989056
310,8.511306532663317
196,14.276807994657732
217,10.207643842498443
290,10.380004123361267
229,14.655302616298927
307,10.323523576483037
278,9.812033354901091
301,14.941724820331215
114,8.212783171521036
173,12.833249030517619
220,27.457223001402525
55,16.697588412050234
59,17.504146624647536
4,13.367445054945055
100,21.195250659630606
241,16.410211971737102
8,19.70547147846333
161,14.636782231852655
23,12.04325601412298
39,10.211042697663713
49,17.632515090543258
176,16.53286502759659
7,10.46916890080429
162,17.811152025249868
244,10.896444415016884
130,14.486299792769975
238,14.997747747747749
136,11.343252950230887
84,11.49581589958159
314,61.93846153846154
247,34.766666666666666
87,14.0343891442794
171,6.404005208883258
273,16.37789987789988
277,13.51795179202423
194,15.518333220397684
51,12.11703534147641
166,13.48365640440897
129,16.413647851727042
69,11.60712714474263
97,12.267420349434738
239,13.90315815712753
264,13.996438746438747
312,12.549597855227882
234,15.251680358476476
63,17.774562071591774
77,16.643501243781095
102,12.856051467631685
10,13.015075376884422
50,13.582687820811946
267,13.646872409926381
293,13.146869639794168
45,11.376929553746843
216,11.501585623678647
38,12.98640685157539
320,15.178212063048916
261,10.868065967016491
181,14.76992627625539
82,14.232853146752054
249,15.951856946354884
288,10.09527354741233
167,16.29581184294526
240,10.670383436291653
80,13.447442816756618
289,16.688235294117646
73,15.928234379051077
25,16.757575757575758
245,17.577858251422658
237,9.061267916649937
113,11.427950310559007
24,18.699145133087235
160,13.11115506329114
70,22.433576642335765
62,14.05335477269405
121,11.636877828054299
125,7.2713535867663435
156,12.212929584234558
219,15.876503237742831
143,7.897116134060795
95,16.8786078098472
226,10.781603924985097
29,11.805218173639226
21,11.910695536119489
214,16.62049129353234
98,26.168457740342724
195,13.477520984247441
256,20.941806331471135
287,9.512146002649386
32,12.646520209094946
60,19.288630904723778
90,5.721212121212122
75,6.785072951739618
221,14.597629009762901
203,9.990509003445363
265,13.989403234802008
151,21.24793388429752
141,8.197406340057636
272,16.048550124275064
200,17.95878113541535
145,19.186717338483582
254,17.27297328420083
109,6.4882692049872634
56,7.664786462530218
228,11.622873731436385
213,20.079482439926064
303,14.792
170,6.848175350011476
304,13.208996680918093
105,13.999384236453203
298,14.27132447492499
188,14.47693032015066
204,14.459545760893036
33,8.877914951989027
11,6.952224052718287
150,13.40709382373217
83,15.154580152671755
110,12.936507936507937
68,12.775177118098249
260,16.15154481007301
106,13.98
71,10.766826923076923
147,11.3123370273794
116,13.066806943713836
198,11.98262905685036
317,11.60512017681186
14,4.880952380952381
123,9.987819732034104
284,10.355147194873743
199,13.878536285362854
158,11.974528250732025
270,11.129401740442235
242,20.663761801016705
135,9.111848055471812
248,11.67914025050255
119,17.528529287821325
42,11.578822129684712
79,13.314064571176084
2,12.715841584158415
201,17.02064791740833
131,13.220686563819058
276,17.64636268708667
149,13.958915365653246
118,14.360264900662251
124,10.102827763496144
281,6.7964778202359195
30,17.755847119224185
99,8.489969135802468
313,15.567187426251946
302,10.981647940074906
184,11.796298547377377
66,15.175359458697491
67,12.25129121615584
186,10.436147873223616
282,13.51925630810093
46,5.472030169704588
275,5.510889856876167
311,11.576338928856915
215,13.036265432098766
174,13.737745098039216
172,7.325396825396825
252,14.622754491017965
153,12.045932333296836
144,13.39359261459714
18,5.919695425724638
138,14.260631001371742
74,15.512063377745768
104,15.280688433308024
180,11.853398058252427
134,6.672839506172839
208,14.118435155412648
187,12.712756849315069
315,11.235668789808917
36,9.143169398907103
