ID,IATA,Airline,RATING,NUM_OF_REVIEWS
487,SQ,Singapore Airlines,4.5 of 5 bubbles,24.986
488,H2,Sky Airline,3 of 5 bubbles,1.953
489,ZA,Sky Angkor Airlines,3 of 5 bubbles,6
490,GQ,Sky Express Airline,2.5 of 5 bubbles,1.230
491,__,Sky Shuttle,3.5 of 5 bubbles,3
492,M8,Skyjet Airlines,2.5 of 5 bubbles,224
493,BC,Skymark Airlines,4 of 5 bubbles,391
494,PQ,SkyUp,3 of 5 bubbles,205
495,LC,Skyway Airlines,3.5 of 5 bubbles,5
496,SX,SkyWork Airlines [no longer operating],4 of 5 bubbles,130
497,yy,Small Planet Airlines [no longer operating,3 of 5 bubbles,3.394
498,5N,Smartavia,3 of 5 bubbles,364
499,QS,SmartWings,3 of 5 bubbles,2.908
500,6J,Solaseed Air,4 of 5 bubbles,174
501,IE,Solomon Airlines,4 of 5 bubbles,50
502,SZ,Somon Air,3 of 5 bubbles,28
503,S0,Sosa (Aerolineas Sosa),1.5 of 5 bubbles,29
504,S8,Sounds Air,4.5 of 5 bubbles,55
505,SA,South African Airways,3.5 of 5 bubbles,4.843
506,9X,Southern Airways Express,3.5 of 5 bubbles,125
507,WN,Southwest Airlines,4.5 of 5 bubbles,43.318
508,SG,SpiceJet,3.5 of 5 bubbles,4.073
509,NK,Spirit Airlines,3 of 5 bubbles,20.009
510,9C,Spring Airlines,3 of 5 bubbles,345
511,IJ,Spring Airlines Japan,3 of 5 bubbles,151
512,P8,SprintAir (Polish airline),2.5 of 5 bubbles,3
513,UL,SriLankan Airlines,3.5 of 5 bubbles,3.310
514,SJ,Sriwijaya Air,3 of 5 bubbles,723
515,PV,St Barth Commuter,4.5 of 5 bubbles,13
516,2I,Star Peru,2.5 of 5 bubbles,183
517,yy,Starbow [no longer operating],3.5 of 5 bubbles,4
518,7G,Starflyer,4.5 of 5 bubbles,248
519,SD,Sudan Airways,3 of 5 bubbles,5
520,yy,Sun Air Express,3.5 of 5 bubbles,218
521,SY,Sun Country Airlines,3 of 5 bubbles,2.984
522,DK,Sunclass Airlines,4 of 5 bubbles,1.212
523,SR,Sundair,4 of 5 bubbles,116
524,XQ,SunExpress,3 of 5 bubbles,2.188
525,S6,Sunrise Airways,3 of 5 bubbles,21
526,WG,Sunwing Airlines,3 of 5 bubbles,7.980
527,Y8,Suparna Airlines,4.5 of 5 bubbles,2
528,PY,Surinam Airways,3 of 5 bubbles,167
529,LX,Swiss International Air Lines [SWISS],4 of 5 bubbles,13.687
530,WO,Swoop,3 of 5 bubbles,1.295
531,RB,SyrianAir,3.5 of 5 bubbles,6
532,TW,T Way Airlines,3.5 of 5 bubbles,337
533,DT,TAAG Angola Airlines,3 of 5 bubbles,550
534,HH,Taban Air,3 of 5 bubbles,23
535,5U,TAG,4 of 5 bubbles,28
536,yy,Tailwind Airlines,3 of 5 bubbles,156
537,7J,Tajik Air,3.5 of 5 bubbles,5
538,JJ,TAM Airlines Brazil,4 of 5 bubbles,5.479
539,EQ,TAME Vuela Ecuador,2.5 of 5 bubbles,527
540,TP,TAP Air Portugal,3.5 of 5 bubbles,19.569
541,YQ,TAR Aerolineas,3 of 5 bubbles,237
542,RO,TAROM,3.5 of 5 bubbles,1.200
543,TG,Thai Airways,4 of 5 bubbles,15.591
544,SL,Thai Lion Air,2.5 of 5 bubbles,1.578
545,WE,THAI Smile Airways,4.5 of 5 bubbles,5.571
546,VZ,Thai Vietjet,3 of 5 bubbles,37
547,MT,Thomas Cook Airlines (UK) [no longer operating],3.5 of 5 bubbles,14.477
548,HQ,Thomas Cook Airlines Belgium [no longer operating],3.5 of 5 bubbles,169
549,GS,Tianjin Airlines,3.5 of 5 bubbles,74
550,3P,Tiara Air Aruba,2.5 of 5 bubbles,4
551,TV,Tibet Airlines,3.5 of 5 bubbles,23
552,TT,tigerair australia,3 of 5 bubbles,2.861
553,__,Tigerair Singapore [no longer operating],3.5 of 5 bubbles,664
554,IT,tigerair taiwan,3.5 of 5 bubbles,751
555,TJ,Tradewind Aviation,4.5 of 5 bubbles,31
556,Q8,Trans Air Congo (TAC),2 of 5 bubbles,3
557,__,Trans Guyana,4 of 5 bubbles,4
558,__,Trans Maldivian,4 of 5 bubbles,212
559,HV,Transavia,3.5 of 5 bubbles,73.290
560,8B,TransNusa,4 of 5 bubbles,10
561,IL,Trigana Air Service,3.5 of 5 bubbles,51
562,9N,Tropic Air Belize,4.5 of 5 bubbles,305
563,TI,Tropic Ocean Airways,5 of 5 bubbles,2
564,2T,Trujet,2.5 of 5 bubbles,131
565,TZ,Tsaradia,3.5 of 5 bubbles,7
566,OR,TUI Airlines Netherlands,3.5 of 5 bubbles,2.060
567,BY,TUI Airways (United Kingdom),3.5 of 5 bubbles,17.936
568,TB,TUI fly Belgium (formerly Jetairfly),3.5 of 5 bubbles,4.762
569,X3,TUIfly (Germany),3 of 5 bubbles,3.122
570,TU,Tunisair,2.5 of 5 bubbles,2.486
571,TK,Turkish Airlines,4 of 5 bubbles,29.754
572,T5,Turkmenistan Airlines,3 of 5 bubbles,216
573,U8,Tus Air,2.5 of 5 bubbles,181
574,T7,Twin Jet,3.5 of 5 bubbles,34
575,PS,Ukraine International Airlines,2.5 of 5 bubbles,3.801
576,B7,Uni Air,4.5 of 5 bubbles,89
577,UA,United Airlines,3 of 5 bubbles,50.235
578,U6,Ural Airlines,3 of 5 bubbles,2.877
579,UQ,Urumqi Air,3.5 of 5 bubbles,5
580,BS,US-Bangla Airlines,3.5 of 5 bubbles,121
581,QU,Utair,3 of 5 bubbles,1.191
582,HY,Uzbekistan Airways,3.5 of 5 bubbles,711
583,JW,Vanilla Air [merged with Peach as of 27.10.2019],3.5 of 5 bubbles,826
584,0V,VASCO,3 of 5 bubbles,20
585,yy,Veca Airlines [no longer operating],4 of 5 bubbles,12
586,VC,Via Airlines [no longer operating],1.5 of 5 bubbles,226
587,V4,Vieques Air Link,4 of 5 bubbles,67
588,VJ,VietJetAir,2.5 of 5 bubbles,4.126
589,VN,Vietnam Airlines,4 of 5 bubbles,7.676
590,yy,Vim Airlines [no longer operating],3 of 5 bubbles,160
591,VX,Virgin America (now Alaska Airlines),4 of 5 bubbles,2.207
592,VS,Virgin Atlantic Airways,4 of 5 bubbles,15.079
593,VA,Virgin Australia,4 of 5 bubbles,11.408
594,UK,Vistara,4.5 of 5 bubbles,2.617
595,VB,Viva Aerobus,3 of 5 bubbles,3.006
596,VH,Viva Air (Colombia),2 of 5 bubbles,1.759
597,VV,Viva Air (Peru),1.5 of 5 bubbles,809
598,yy,VLM Airlines [no longer operating],3 of 5 bubbles,9
599,Y4,Volaris,3 of 5 bubbles,5.833
600,V7,Volotea,3.5 of 5 bubbles,12.147
601,VY,Vueling Airlines,2.5 of 5 bubbles,25.628
602,EB,Wamos Air,2.5 of 5 bubbles,2.332
603,yy,Wantaniya Airways [no longer operating],1 of 5 bubbles,18
604,WT,Wasaya Airways,-1 of 5 bubbles,0
605,PN,West Air,4 of 5 bubbles,98
606,WS,WestJet,4 of 5 bubbles,15.353
607,WF,Wideroe,4 of 5 bubbles,392
608,WM,Winair,3 of 5 bubbles,152
609,7W,Windrose Air,4 of 5 bubbles,192
610,P5,Wingo,3 of 5 bubbles,478
611,IW,Wings Air,2.5 of 5 bubbles,306
612,W6,Wizz Air,3 of 5 bubbles,16.026
613,WW,WOW air [no longer operating],3 of 5 bubbles,9.098
614,MF,Xiamen Airlines,3.5 of 5 bubbles,639
615,SE,XL Airways [no longer operating],2.5 of 5 bubbles,1.982
616,XN,Xpressair,2.5 of 5 bubbles,3
617,R3,Yakutia Air,3.5 of 5 bubbles,163
618,YC,Yamal Airlines,3.5 of 5 bubbles,99
619,YE,Yanair,2.5 of 5 bubbles,155
620,IY,Yemenia,3 of 5 bubbles,4
621,YT,Yeti Airlines,3.5 of 5 bubbles,221
622,Z4,Zagros Airlines,3.5 of 5 bubbles,32
623,AQ,9 Air,2.5 of 5 bubbles,11
624,EV,Atlantic Southeast Airlines,3.5 of 5 bubbles,66
625,OO,Skywest Airlines,4 of 5 bubbles,15.943
626,YV,Mesa Airlines Inc.,3 of 5 bubbles,15821
627,US,US Airways Inc.,2 of 5 bubbles,460
628,MQ,American Eagle Airlines,2.5 of 5 bubbles,141
629,OH,PSA Airlines,3 of 5 bubbles,308,
630,YX,Republic Airways Inc.,3 of 5 bubbles,608
631,9E,Endeavor Air Inc.,3 of 5 bubbles,279
