ID,IATA,Airline,RATING,NUM_OF_REVIEWS
112,2G,Angara Airlines,4 of 5 bubbles,13
113,Q3,Anguilla Air Services,4.5 of 5 bubbles,101
114,FG,Ariana Afghan Airlines,2.5 of 5 bubbles,5
115,W3,Arik Air,2 of 5 bubbles,115
116,IZ,Arkia Israel Airlines,3 of 5 bubbles,715
117,AG,Aruba Airlines,2.5 of 5 bubbles,123
118,yy,Aserca Airlines (no longer operating),3 of 5 bubbles,74
119,HB,Asia Atlantic Airlines,3.5 of 5 bubbles,7
120,OZ,Asiana Airlines,4 of 5 bubbles,3.544
121,KP,ASKY Airlines,3 of 5 bubbles,78
122,5O,ASL France,3 of 5 bubbles,561
123,A2,Astra Airlines,3 of 5 bubbles,234
124,yy,ATA Airlines (Iran),2.5 of 5 bubbles,50
125,RC,Atlantic Airways,4.5 of 5 bubbles,216
126,5Y,Atlas Air,3 of 5 bubbles,57
127,yy,Atlas Atlantique [no longer operating],-1 of 5 bubbles,0
128,KK,AtlasGlobal [no longer operating],3.5 of 5 bubbles,1.142
129,GR,Aurigny,4 of 5 bubbles,355
130,HZ,Aurora,4 of 5 bubbles,60
131,AU,Austral Lineas Aereas,4 of 5 bubbles,209
132,OS,Austrian Airlines,3.5 of 5 bubbles,8.042
133,AV,Avianca,4 of 5 bubbles,18.535
134,9V,Avior Airlines,2.5 of 5 bubbles,196
135,J2,Azerbaijan Airlines,4 of 5 bubbles,576
136,A4,Azimuth,3.5 of 5 bubbles,107
137,AJ,Aztec Airways,4 of 5 bubbles,8
138,AD,Azul,4.5 of 5 bubbles,15.976
139,ZF,Azur Air,3.5 of 5 bubbles,1.717
140,UP,Bahamasair,2.5 of 5 bubbles,511
141,QH,Bamboo Airways,3.5 of 5 bubbles,139
142,PG,Bangkok Airways,4 of 5 bubbles,4.562
143,5B,Bassaka Air,4 of 5 bubbles,95
144,ID,Batik Air,3.5 of 5 bubbles,1.122
145,BD,Bayon Airlines,3 of 5 bubbles,37
146,JV,Bearskin Airlines,3 of 5 bubbles,9
147,JD,Beijing Capital Airlines,3 of 5 bubbles,91
148,Z9,Bek Air,3 of 5 bubbles,28
149,B2,Belavia Belarusian Airlines,4 of 5 bubbles,1.099
150,8H,BH Air,2.5 of 5 bubbles,18
151,B3,Bhutan Airlines,4.5 of 5 bubbles,146
152,BG,Biman Bangladesh Airlines,3 of 5 bubbles,355
153,NT,Binter,4 of 5 bubbles,909
154,0B,Blue Air,3.5 of 5 bubbles,3.134
155,SI,Blue Islands Air,3.5 of 5 bubbles,95
156,BV,Blue Panorama Airlines,2.5 of 5 bubbles,3.849
157,OB,Boliviana de Aviacion,3.5 of 5 bubbles,412
158,yy,Borajet [no longer operating],3.5 of 5 bubbles,33
159,4B,Boutique Air,2.5 of 5 bubbles,193
160,DC,BRA (Braathens Regional Airways AB),3.5 of 5 bubbles,253
161,BA,British Airways,3.5 of 5 bubbles,54.378
162,SN,Brussels Airlines,3.5 of 5 bubbles,7.476
163,U4,Buddha Air,3.5 of 5 bubbles,189
164,FB,Bulgaria Air,3.5 of 5 bubbles,894
165,yy,Buta Airways,3.5 of 5 bubbles,147
166,VR,Cabo Verde Airlines,2.5 of 5 bubbles,627
167,__,Calafia Airlines,3.5 of 5 bubbles,121
168,MO,CalmAir International,3.5 of 5 bubbles,24
169,K6,Cambodia Angkor Air,2.5 of 5 bubbles,908
170,5T,Canadian North,4 of 5 bubbles,66
171,PM,Canaryfly,3.5 of 5 bubbles,190
172,9K,Cape Air,3.5 of 5 bubbles,289
173,BW,Caribbean Airlines,3.5 of 5 bubbles,766
174,IV,Caspian Airlines,3 of 5 bubbles,36
175,KA,Cathay Dragon (Dragonair),4 of 5 bubbles,1.715
176,CX,Cathay Pacific,4 of 5 bubbles,16.310
177,KX,Cayman Airways,3.5 of 5 bubbles,339
178,5J,Cebu Pacific Air,3 of 5 bubbles,3.593
179,5Z,CemAir,3 of 5 bubbles,206
180,9M,Central Mountain Air,3.5 of 5 bubbles,55
181,GM,Chair Airlines,3.5 of 5 bubbles,80
182,6Q,Cham Wings,4.5 of 5 bubbles,8
183,EU,Chengdu Airlines,3.5 of 5 bubbles,11
184,CI,China Airlines,4 of 5 bubbles,4.094
185,MU,China Eastern Airlines,3 of 5 bubbles,5.035
186,G5,China Express Airlines,4.5 of 5 bubbles,4
187,CZ,China Southern Airlines,3.5 of 5 bubbles,4.913
188,KN,China United Airlines,3 of 5 bubbles,29
189,OQ,Chongqing Airlines,3 of 5 bubbles,8
190,C7,Cinnamon Air,4.5 of 5 bubbles,26
191,QG,Citilink,4 of 5 bubbles,1.072
192,WX,CityJet,3.5 of 5 bubbles,418
193,yy,Citywing [no longer operating],3.5 of 5 bubbles,11
194,CC,CM Airlines,3.5 of 5 bubbles,32
195,CO,Cobalt [no longer operating],3.5 of 5 bubbles,506
196,GY,Colorful GuiZhou Airlines,-1 of 5 bubbles,0
197,DE,Condor,3 of 5 bubbles,7.714
198,LF,Contour Airlines,4 of 5 bubbles,37
199,CM,Copa Airlines,4 of 5 bubbles,12.209
200,__,Copenhagen AirTaxi,5 of 5 bubbles,1
201,XC,Corendon Airlines,3 of 5 bubbles,2.053
202,SS,Corsair,3 of 5 bubbles,1.908
203,OU,Croatia Airlines,3.5 of 5 bubbles,1.054
204,CU,Cubana de Aviacion,2.5 of 5 bubbles,912
205,CY,Cyprus Airways,3.5 of 5 bubbles,41
206,OK,Czech Airlines,3 of 5 bubbles,2.425
207,D3,Daallo Airlines,4.5 of 5 bubbles,3
208,yy,Dalian Airlines,4 of 5 bubbles,5
209,DX,DAT Danish Air Transport,3.5 of 5 bubbles,382
210,DL,Delta Air Lines,4 of 5 bubbles,58.296
211,KG,Denver Air Connection,3.5 of 5 bubbles,15
212,yy,Dniproavia [no longer operating - merged into Windrose Airlines],3 of 5 bubbles,20
213,DZ,Donghai Airlines,3 of 5 bubbles,10
214,KB,Druk Air,4 of 5 bubbles,318
215,2D,Dynamic International Airways,1.5 of 5 bubbles,96
216,H7,Eagle Air,4 of 5 bubbles,16
217,ZE,Eastar Jet,3.5 of 5 bubbles,151
218,T3,Eastern Airways,3 of 5 bubbles,186
219,VE,EasyFly,3.5 of 5 bubbles,99
220,U2,easyJet,3.5 of 5 bubbles,54.759
221,WK,Edelweiss Air,4 of 5 bubbles,3.194
222,MS,EGYPTAIR,3.5 of 5 bubbles,3.805
223,LY,EL AL Israel Airlines,3.5 of 5 bubbles,4.424
224,7Q,Elite Airways,3.5 of 5 bubbles,162
225,EL,Ellinair,3.5 of 5 bubbles,901
226,EK,Emirates,4 of 5 bubbles,61.259
227,E4,Enter Air,3.5 of 5 bubbles,2.541
